Level,Date,Source,ID,Task
Information,3/18/2022 4:43:31 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/18/2022 4:43:30 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/18/2022 4:43:30 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/18/2022 4:43:30 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x2.
Information,3/18/2022 4:43:30 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1A63F8.
Information,3/18/2022 4:43:30 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/18/2022 4:43:30 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,3/18/2022 4:43:28 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎18T11:43:28.500000000Z from ‎2022‎-‎03‎-‎18T11:42:34.097953100Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/18/2022 4:42:34 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/18/2022 4:42:32 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\S-1-5-21-59471354-1410144394-4117892861-1002\SystemAppData\Helium\Cache\7aaf6023dfb39f7c_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,3/18/2022 4:42:30 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Battery"
Information,3/18/2022 4:42:26 AM,Microsoft-Windows-Kernel-Power,524,(223),Critical Battery Trigger Met
Information,3/18/2022 4:28:07 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP56
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/18/2022 4:28:07 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP56
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/18/2022 4:28:06 AM,NETwNb64,7036,None,The \Device\NDMP56 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/18/2022 4:28:05 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP53
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/18/2022 4:28:05 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/18/2022 4:27:29 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.google-analytics.com timed out after none of the configured DNS servers responded.
Information,3/18/2022 3:56:17 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/18/2022 3:53:56 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,3/18/2022 3:52:54 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/18/2022 3:50:10 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/18/2022 3:47:47 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/18/2022 3:35:12 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.361.218.0)
Information,3/18/2022 3:34:51 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.361.218.0)
Information,3/18/2022 3:34:50 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Warning,3/18/2022 3:33:39 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/18/2022 3:33:39 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/18/2022 3:33:36 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/18/2022 3:33:35 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎18T04:43:16.450033000Z
Wake Time: ‎2022‎-‎03‎-‎18T10:33:34.603863500Z

Wake Source: Unknown"
Warning,3/18/2022 3:33:35 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Error,3/18/2022 3:33:34 AM,Microsoft-Windows-WHEA-Logger,1,None,A fatal hardware error has occurred. A record describing the condition is contained in the data section of this event.
Information,3/18/2022 3:33:34 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/18/2022 3:33:34 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/18/2022 3:33:34 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/18/2022 3:33:34 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,3/18/2022 3:33:34 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/18/2022 3:33:34 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/18/2022 3:33:32 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎18T10:33:32.500000000Z from ‎2022‎-‎03‎-‎18T04:43:23.474522300Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/17/2022 9:43:23 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/17/2022 9:43:18 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,3/17/2022 9:43:16 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎18T04:43:16.922453300Z from ‎2022‎-‎03‎-‎18T04:43:16.918315100Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,3/17/2022 9:43:16 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/17/2022 9:43:16 PM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,3/17/2022 9:43:15 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,3/17/2022 8:40:36 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,3/17/2022 8:37:16 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/17/2022 8:36:57 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/17/2022 8:30:21 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.XboxGamingOverlay_8wekyb3d8bbwe\S-1-5-21-59471354-1410144394-4117892861-1002\SystemAppData\Helium\Cache\998fdd4c364561f2_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,3/17/2022 8:28:16 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/17/2022 8:26:08 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,3/17/2022 8:26:05 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/17/2022 8:26:05 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/17/2022 8:26:05 PM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,3/17/2022 8:26:02 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/17/2022 8:26:02 PM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎17T16:59:16.071459700Z
Wake Time: ‎2022‎-‎03‎-‎18T03:26:01.691830400Z

Wake Source: Unknown"
Warning,3/17/2022 8:26:01 PM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Warning,3/17/2022 8:26:01 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/17/2022 8:26:00 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/17/2022 8:26:00 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/17/2022 8:26:00 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/17/2022 8:26:00 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,3/17/2022 8:26:00 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/17/2022 8:26:00 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/17/2022 8:26:00 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,3/17/2022 8:25:59 PM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,3/17/2022 8:25:58 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎18T03:25:58.500000000Z from ‎2022‎-‎03‎-‎17T16:59:19.319150100Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/17/2022 8:25:59 PM,EventLog,6013,None,The system uptime is 331901 seconds.
Information,3/17/2022 9:59:19 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/17/2022 9:59:17 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,3/17/2022 9:59:16 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,3/17/2022 9:59:15 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,3/17/2022 9:44:52 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name rr1---sn-4wg7ln7l.googlevideo.com timed out after none of the configured DNS servers responded.
Information,3/17/2022 9:12:13 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/17/2022 9:08:33 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/17/2022 8:44:56 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/17/2022 8:42:35 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/17/2022 8:41:54 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,3/17/2022 8:41:34 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/17/2022 8:40:13 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/17/2022 8:40:13 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/17/2022 8:40:11 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/17/2022 8:40:11 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎17T15:04:02.489662800Z
Wake Time: ‎2022‎-‎03‎-‎17T15:40:10.823329400Z

Wake Source: Unknown"
Warning,3/17/2022 8:40:10 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/17/2022 8:40:10 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/17/2022 8:40:09 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/17/2022 8:40:09 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/17/2022 8:40:09 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,3/17/2022 8:40:09 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/17/2022 8:40:09 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/17/2022 8:40:07 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎17T15:40:07.500000000Z from ‎2022‎-‎03‎-‎17T15:04:06.147119400Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/17/2022 8:04:06 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/17/2022 8:04:04 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,3/17/2022 8:04:02 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,3/17/2022 8:04:02 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Warning,3/17/2022 8:03:33 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/17/2022 8:03:33 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/17/2022 8:03:32 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/17/2022 8:03:31 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎17T13:02:13.711029700Z
Wake Time: ‎2022‎-‎03‎-‎17T15:03:30.786409700Z

Wake Source: Unknown"
Warning,3/17/2022 8:03:30 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/17/2022 8:03:30 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/17/2022 8:03:29 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/17/2022 8:03:29 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/17/2022 8:03:29 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,3/17/2022 8:03:29 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/17/2022 8:03:29 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/17/2022 8:03:27 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎17T15:03:27.500000000Z from ‎2022‎-‎03‎-‎17T13:02:18.806813600Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/17/2022 6:02:18 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/17/2022 6:02:15 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,3/17/2022 6:02:13 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,3/17/2022 6:02:13 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Error,3/17/2022 6:02:12 AM,Microsoft-Windows-DistributedCOM,10010,None,The server {9BA05972-F6A8-11CF-A442-00A0C90A8F39} did not register with DCOM within the required timeout.
Error,3/17/2022 6:02:12 AM,Microsoft-Windows-DistributedCOM,10010,None,The server {9BA05972-F6A8-11CF-A442-00A0C90A8F39} did not register with DCOM within the required timeout.
Information,3/17/2022 6:01:57 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎17T12:27:32.191373500Z
Wake Time: ‎2022‎-‎03‎-‎17T13:01:57.029216800Z

Wake Source: Power Button"
Warning,3/17/2022 6:01:57 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/17/2022 6:01:57 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/17/2022 6:01:56 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎17T13:01:56.666504900Z from ‎2022‎-‎03‎-‎17T13:01:56.665854500Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,3/17/2022 6:01:56 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/17/2022 6:01:55 AM,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 68353206, SuspendEnd: 68353416"
Information,3/17/2022 6:01:55 AM,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 1, FullResume: 222, AverageResume: 222"
Information,3/17/2022 6:01:55 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎17T13:01:55.500000000Z from ‎2022‎-‎03‎-‎17T12:27:35.876755500Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/17/2022 5:27:35 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/17/2022 5:27:35 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,3/17/2022 5:27:32 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎17T12:27:32.447364500Z from ‎2022‎-‎03‎-‎17T12:27:32.433678100Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,3/17/2022 5:27:32 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/17/2022 5:19:52 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/17/2022 5:17:46 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/17/2022 5:13:15 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,3/17/2022 5:05:07 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP53
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/17/2022 5:05:07 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP53
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/17/2022 5:05:07 AM,NETwNb64,7036,None,The \Device\NDMP53 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/17/2022 5:05:06 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP50
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/17/2022 5:05:06 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/17/2022 5:04:31 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name play.google.com timed out after none of the configured DNS servers responded.
Information,3/17/2022 4:54:56 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.361.159.0)
Information,3/17/2022 4:54:45 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.361.159.0)
Information,3/17/2022 4:54:44 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,3/17/2022 4:52:53 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP50
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
