Level,Date,Source,ID,Task
Information,4/12/2022 10:55:17 AM,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 348678445, SuspendEnd: 348678656"
Information,4/12/2022 10:55:17 AM,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 1, FullResume: 221, AverageResume: 221"
Information,4/12/2022 10:55:17 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎12T17:55:17.500000000Z from ‎2022‎-‎04‎-‎12T17:38:16.638934600Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,4/12/2022 10:38:16 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,4/12/2022 10:38:15 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Information,4/12/2022 10:38:13 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎12T17:38:13.230152800Z from ‎2022‎-‎04‎-‎12T17:38:13.224686800Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,4/12/2022 10:38:13 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Warning,4/12/2022 10:38:11 AM,User32,1073,None,The attempt by user DESKTOP-D57JJ0U\Hp to restart/shutdown computer DESKTOP-D57JJ0U failed
Error,4/12/2022 10:38:02 AM,Microsoft-Windows-DistributedCOM,10010,None,The server microsoft.windowscommunicationsapps_16005.14326.20858.0_x64__8wekyb3d8bbwe!microsoft.windowslive.calendar.AppXwkn9j84yh1kvnt49k5r8h6y1ecsv09hs.mca did not register with DCOM within the required timeout.
Warning,4/12/2022 10:37:22 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.1320_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
